MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,3,65,8450,1,0,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,2,196,4,3,2,4,3,1,6,706,1,0,150,856,1,5,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,0,2,2003,2,2,548,3,3,2,0,61,0,0,0,0,0,0,0,0,2,2008,8,4,208500
20,3,80,9600,1,0,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,0,0,3,3,1,4,3,4,5,978,1,0,284,1262,1,5,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,3,2,1976,2,2,460,3,3,2,298,0,0,0,0,0,0,0,0,0,5,2007,8,4,181500
60,3,68,11250,1,0,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,2,162,4,3,2,4,3,2,6,486,1,0,434,920,1,5,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,3,2,2001,2,2,608,3,3,2,0,42,0,0,0,0,0,0,0,0,9,2008,8,4,223500
70,3,60,9550,1,0,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,0,0,3,3,0,3,4,1,5,216,1,0,540,756,1,4,1,4,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,4,6,1998,3,3,642,3,3,2,0,35,272,0,0,0,0,0,0,0,2,2006,8,0,140000
60,3,84,14260,1,0,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,2,350,4,3,2,4,3,3,6,655,1,0,490,1145,1,5,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,3,2,2000,2,3,836,3,3,2,192,84,0,0,0,0,0,0,0,0,12,2008,8,4,250000
50,3,85,14115,1,0,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,0,0,3,3,5,4,3,1,6,732,1,0,64,796,1,5,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,0,2,1993,3,2,480,3,3,2,40,30,0,320,0,0,0,3,1,700,10,2009,8,4,143000
20,3,75,10084,1,0,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,186,4,3,2,5,3,3,6,1369,1,0,317,1686,1,5,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,4,2,2004,2,2,636,3,3,2,255,57,0,0,0,0,0,0,0,0,8,2007,8,4,307000
60,3,70,10382,1,0,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,240,3,3,1,4,3,2,5,859,4,32,216,1107,1,5,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,3,2,1973,2,2,484,3,3,2,235,204,228,0,0,0,0,0,1,350,11,2009,8,4,200000
50,4,51,6120,1,0,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,0,0,3,3,0,3,3,1,1,0,1,0,952,952,1,4,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,3,6,1931,3,2,468,2,3,2,90,0,205,0,0,0,0,0,0,0,4,2008,8,0,129900
190,3,50,7420,1,0,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,0,0,3,3,0,3,3,1,6,851,1,0,140,991,1,5,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,3,2,1939,2,1,205,4,3,2,0,4,0,0,0,0,0,0,0,0,1,2008,8,4,118000
20,3,70,11200,1,0,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,0,0,3,3,1,3,3,1,3,906,1,0,134,1040,1,5,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,0,6,1965,3,1,384,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2008,8,4,129500
60,3,85,11924,1,0,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,286,5,3,2,5,3,1,6,998,1,0,177,1175,1,5,1,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,4,4,2005,1,3,736,3,3,2,147,21,0,0,0,0,0,0,0,0,7,2006,6,5,345000
20,3,70,12968,1,0,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,0,0,3,3,1,3,3,1,5,737,1,0,175,912,1,3,1,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,0,6,1962,3,1,352,3,3,2,140,0,0,0,176,0,0,0,0,0,9,2008,8,4,144000
20,3,91,10652,1,0,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,306,4,3,2,4,3,3,1,0,1,0,1494,1494,1,5,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,4,2,2006,2,3,840,3,3,2,160,33,0,0,0,0,0,0,0,0,8,2007,6,5,279500
20,3,70,10920,1,0,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,2,212,3,3,1,3,3,1,4,733,1,0,520,1253,1,3,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,2,2,1960,2,1,352,3,3,2,0,213,176,0,0,0,0,2,0,0,5,2008,8,4,157000
45,4,51,6120,1,0,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,0,0,3,3,0,3,3,1,1,0,1,0,832,832,1,5,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,0,6,1991,3,2,576,3,3,2,48,112,0,0,0,0,0,4,0,0,7,2007,8,4,132000
